,date,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,56,1,0,2,6,0,1,34,41,0,0,80,2,27,2,9,21,100,0,21,50
1,2007-02-01,62,1,0,2,7,0,1,31,38,0,0,95,2,24,1,7,23,82,0,26,45
2,2007-03-01,62,1,0,2,7,0,1,31,34,0,0,88,2,28,3,8,17,62,0,28,51
3,2007-04-01,62,1,0,3,8,0,1,38,37,0,0,93,1,27,2,9,16,71,0,17,43
4,2007-05-01,59,1,0,2,7,0,2,35,40,0,0,91,1,28,2,8,13,58,0,32,43
5,2007-06-01,64,1,0,2,6,0,1,43,33,0,0,100,1,32,3,10,13,48,0,25,43
6,2007-07-01,70,2,0,2,6,0,1,37,25,0,0,95,1,35,2,9,21,33,0,27,38
7,2007-08-01,67,1,0,3,7,0,1,40,43,0,0,93,1,30,2,10,15,67,0,21,41
8,2007-09-01,59,1,0,1,8,0,0,32,44,0,0,83,1,27,2,5,17,34,0,21,40
9,2007-10-01,50,1,0,3,6,0,0,33,42,0,0,100,1,30,2,7,0,39,0,17,41
10,2007-11-01,73,1,0,2,6,0,1,34,41,0,0,89,1,29,2,8,12,56,0,31,40
11,2007-12-01,52,1,0,2,5,0,1,32,31,0,0,71,1,22,3,4,20,71,0,20,36
12,2008-01-01,63,1,0,2,7,0,1,34,41,0,0,93,1,23,3,7,12,42,0,21,37
13,2008-02-01,59,1,0,2,7,0,0,30,41,0,0,91,2,35,1,7,21,64,7,26,41
14,2008-03-01,64,1,0,2,6,0,0,35,41,0,0,78,1,31,1,9,8,70,0,15,36
15,2008-04-01,61,1,0,2,7,0,0,32,42,0,0,88,1,34,2,5,17,32,0,20,40
16,2008-05-01,61,1,0,2,5,0,1,34,34,0,0,83,2,29,3,9,10,63,7,16,41
17,2008-06-01,66,1,0,3,5,0,0,35,27,0,0,97,2,29,2,8,18,68,8,38,41
18,2008-07-01,66,1,0,2,5,0,0,43,32,0,0,97,1,32,2,6,15,39,0,17,39
19,2008-08-01,65,1,0,2,8,0,1,40,39,0,0,88,2,28,1,8,7,51,0,19,39
20,2008-09-01,59,1,0,2,9,0,1,36,41,0,0,83,1,28,2,6,20,52,0,17,39
21,2008-10-01,59,1,0,1,7,0,1,34,44,0,0,88,2,29,2,7,17,41,6,23,38
22,2008-11-01,77,1,0,2,7,0,1,35,33,0,0,80,1,29,2,7,17,52,0,22,42
23,2008-12-01,63,0,0,1,10,0,1,40,37,0,0,73,1,27,1,7,11,55,7,24,37
24,2009-01-01,63,1,0,2,7,0,1,38,38,0,0,84,0,26,1,8,19,70,0,22,45
25,2009-02-01,62,1,0,2,8,0,1,35,39,0,0,80,2,30,1,8,12,56,0,28,39
26,2009-03-01,67,1,0,2,8,0,1,32,40,0,0,85,1,30,2,8,17,54,0,26,38
27,2009-04-01,60,1,0,2,9,0,1,36,35,0,0,70,0,28,2,9,11,50,0,35,39
28,2009-05-01,63,1,0,2,6,0,1,40,33,0,0,91,0,33,3,7,9,43,0,18,35
29,2009-06-01,65,1,0,1,6,0,1,48,31,0,0,86,1,30,2,10,17,58,7,24,38
30,2009-07-01,69,1,0,2,5,0,0,48,41,0,0,85,2,33,1,10,12,53,0,29,40
31,2009-08-01,66,1,0,2,8,0,1,41,39,0,0,87,2,33,1,8,19,49,6,18,41
32,2009-09-01,66,1,0,1,9,0,1,37,44,0,0,88,1,29,1,11,24,47,6,22,42
33,2009-10-01,62,1,0,2,9,0,2,40,37,0,0,91,2,29,2,9,25,44,0,19,41
34,2009-11-01,100,1,0,2,9,0,1,38,38,0,0,73,1,28,1,6,15,41,0,17,43
35,2009-12-01,65,1,0,1,6,0,1,34,34,0,0,67,1,29,1,7,12,35,0,19,36
36,2010-01-01,63,1,0,2,9,0,1,38,42,0,0,82,2,26,2,8,16,43,0,26,37
37,2010-02-01,70,1,0,2,8,0,1,39,49,0,0,77,2,30,1,7,32,22,6,24,39
38,2010-03-01,68,1,0,2,10,0,1,39,42,0,0,82,1,32,1,9,11,17,0,33,41
39,2010-04-01,77,1,0,2,11,0,1,38,38,0,0,83,1,32,2,7,24,20,0,39,42
40,2010-05-01,68,1,0,2,6,0,1,42,35,0,0,75,1,36,1,8,23,17,0,21,34
41,2010-06-01,76,1,0,2,8,0,1,51,36,0,0,88,2,34,3,8,14,21,6,25,38
42,2010-07-01,75,1,0,2,7,0,0,43,32,0,0,67,1,35,2,8,17,23,0,12,39
43,2010-08-01,68,1,0,1,8,0,1,46,37,0,0,75,1,32,2,10,18,26,6,18,32
44,2010-09-01,70,1,0,2,9,0,1,36,53,0,0,79,1,34,1,9,13,15,6,31,37
45,2010-10-01,67,1,0,2,8,0,1,37,40,0,0,74,1,28,1,7,21,25,7,21,40
46,2010-11-01,83,1,0,2,9,0,1,43,39,0,0,74,1,28,1,10,19,24,7,19,34
47,2010-12-01,62,1,0,2,7,0,1,35,29,0,0,75,1,25,2,6,26,17,0,24,35
48,2011-01-01,70,1,0,2,7,0,1,36,34,0,0,73,1,29,2,8,21,10,3,9,32
49,2011-02-01,70,1,0,2,7,0,1,36,42,0,0,67,1,27,1,9,26,13,0,16,35
50,2011-03-01,70,1,0,2,6,0,1,40,39,0,0,80,1,29,2,9,14,15,3,15,36
51,2011-04-01,70,1,0,3,7,0,2,43,40,0,0,67,1,31,2,10,24,12,3,14,36
52,2011-05-01,68,1,0,2,7,0,1,42,33,0,0,67,1,31,1,9,14,11,5,20,32
53,2011-06-01,74,1,0,2,6,0,0,51,33,0,0,83,1,34,1,8,12,12,0,15,30
54,2011-07-01,74,1,0,2,6,0,1,48,27,0,0,73,1,35,1,9,15,17,7,15,31
55,2011-08-01,72,1,0,1,7,0,0,43,37,0,0,75,1,33,1,10,10,12,0,31,35
56,2011-09-01,68,1,0,2,8,0,1,40,41,0,0,68,2,29,2,8,15,5,3,13,44
57,2011-10-01,68,1,0,2,7,0,1,37,34,0,0,68,1,30,1,8,14,16,3,23,44
58,2011-11-01,86,1,0,2,6,0,1,38,33,0,0,55,1,29,1,7,21,10,7,12,35
59,2011-12-01,65,1,0,2,7,0,1,37,29,0,0,58,1,29,1,7,20,15,0,14,33
60,2012-01-01,72,1,0,1,6,0,0,40,35,0,0,62,1,31,1,9,7,11,0,17,34
61,2012-02-01,69,1,0,2,6,0,1,36,42,0,0,70,1,28,1,8,17,9,4,19,30
62,2012-03-01,72,1,0,2,6,0,0,52,39,0,0,66,1,32,1,11,26,8,0,14,35
63,2012-04-01,70,1,0,2,6,0,1,45,39,0,0,67,1,33,1,9,16,8,4,27,34
64,2012-05-01,73,1,0,2,5,0,1,44,32,0,0,79,1,35,1,9,10,7,3,27,34
65,2012-06-01,73,1,0,2,5,0,0,48,28,0,0,72,1,37,1,10,16,5,6,17,36
66,2012-07-01,72,0,0,2,5,0,1,47,29,0,0,72,1,34,1,11,19,6,0,18,34
67,2012-08-01,70,1,0,2,7,0,1,46,39,0,0,78,1,33,1,11,16,8,0,21,37
68,2012-09-01,65,1,0,2,7,0,1,40,40,0,0,65,1,34,2,8,13,7,0,22,40
69,2012-10-01,64,1,0,2,8,0,1,37,38,0,0,77,0,29,1,9,23,6,2,23,40
70,2012-11-01,77,1,0,2,5,0,1,35,30,0,0,69,1,32,1,9,19,8,3,19,34
71,2012-12-01,51,1,0,1,4,0,0,30,20,0,0,35,0,25,1,6,10,5,2,7,23
72,2013-01-01,58,1,0,1,4,0,1,32,27,0,0,44,0,28,1,7,14,5,1,11,36
73,2013-02-01,62,1,0,2,6,0,0,34,38,0,0,60,1,30,1,9,17,6,0,15,39
74,2013-03-01,63,1,0,2,5,0,1,38,35,0,0,56,1,32,1,9,16,3,4,14,34
75,2013-04-01,66,1,0,2,6,0,1,41,36,0,0,59,1,32,1,10,25,7,0,19,34
76,2013-05-01,70,0,0,1,5,0,1,44,27,0,0,63,1,35,1,11,14,4,2,14,31
77,2013-06-01,71,1,0,1,4,0,0,49,31,0,0,65,1,34,1,10,14,5,2,16,32
78,2013-07-01,70,0,0,1,3,0,0,46,23,0,0,55,1,34,1,9,12,5,0,14,27
79,2013-08-01,66,0,0,1,5,0,0,41,29,0,0,51,1,30,1,8,17,5,0,15,26
80,2013-09-01,61,1,0,1,5,0,0,37,29,0,0,38,1,28,1,8,20,3,2,13,24
81,2013-10-01,61,1,0,1,6,0,1,35,31,0,0,57,1,26,1,8,19,6,2,14,35
82,2013-11-01,75,1,0,1,5,0,0,35,30,0,0,56,1,29,1,8,22,5,2,12,32
83,2013-12-01,59,0,0,1,4,0,0,35,21,0,0,36,0,24,1,6,15,5,4,13,21
84,2014-01-01,58,1,0,2,4,0,0,37,28,0,0,42,0,27,1,7,21,1,4,17,28
85,2014-02-01,64,0,0,1,4,0,0,37,30,0,0,40,1,25,1,7,21,4,1,15,25
86,2014-03-01,60,0,0,1,4,0,0,39,28,0,0,44,1,30,1,9,20,4,2,15,25
87,2014-04-01,63,0,0,2,4,0,0,39,28,0,0,47,0,31,1,10,21,8,2,14,26
88,2014-05-01,61,1,0,1,3,0,0,41,21,0,0,38,1,30,1,8,21,2,2,11,18
89,2014-06-01,64,0,0,2,3,0,0,44,23,0,0,48,1,32,1,10,18,4,2,12,23
90,2014-07-01,62,0,0,1,3,0,0,44,22,0,0,51,1,32,1,9,13,3,2,12,23
91,2014-08-01,58,1,0,1,4,0,0,38,28,0,0,56,1,29,1,10,12,5,0,11,27
92,2014-09-01,55,1,0,1,5,0,0,38,33,0,0,54,1,29,1,10,20,3,2,15,31
93,2014-10-01,52,1,0,2,4,0,0,35,35,0,0,53,1,27,1,9,23,4,8,17,31
94,2014-11-01,64,1,0,1,5,0,1,33,31,0,0,47,1,29,1,7,19,2,3,11,32
95,2014-12-01,52,1,0,1,5,0,1,34,28,0,0,47,1,28,1,8,14,2,0,16,31
96,2015-01-01,54,1,0,2,4,0,1,36,32,0,0,50,1,27,1,8,16,3,0,16,35
97,2015-02-01,56,1,0,2,6,0,0,33,40,0,0,64,1,27,1,8,20,4,2,14,32
98,2015-03-01,62,1,0,2,5,0,0,37,36,0,0,66,0,29,1,10,25,7,2,15,31
99,2015-04-01,60,1,0,2,4,0,0,39,33,0,0,73,1,30,1,11,24,5,2,18,35
100,2015-05-01,62,1,0,2,4,0,0,41,27,0,0,65,1,31,1,9,23,5,2,19,35
101,2015-06-01,69,1,0,2,4,0,0,44,24,0,0,73,1,36,1,11,17,5,0,15,30
102,2015-07-01,78,1,0,3,4,0,0,51,28,0,0,77,1,39,2,11,19,2,2,24,29
103,2015-08-01,69,1,0,2,6,0,0,47,38,0,0,76,1,35,1,13,23,3,3,14,32
104,2015-09-01,62,1,0,2,6,0,0,39,40,0,0,70,1,29,1,11,36,6,2,18,31
105,2015-10-01,51,1,0,2,5,0,0,34,36,0,0,64,1,26,1,7,20,2,2,18,45
106,2015-11-01,48,1,0,1,4,0,0,26,28,0,0,40,1,21,1,7,18,2,0,12,65
107,2015-12-01,23,0,0,1,3,0,0,15,21,0,0,21,0,12,1,3,8,1,2,7,100
108,2016-01-01,55,1,0,1,3,0,0,35,29,0,0,41,1,29,1,8,16,4,1,15,23
109,2016-02-01,66,1,0,2,4,0,0,39,40,0,0,49,1,32,1,10,31,2,3,10,23
110,2016-03-01,59,1,0,2,4,0,0,35,33,0,0,49,1,31,1,10,24,0,1,13,25
111,2016-04-01,65,1,0,1,3,0,0,43,31,0,0,47,1,35,1,11,26,2,2,13,21
112,2016-05-01,70,0,0,2,4,0,0,55,37,0,0,46,1,52,1,11,20,4,2,20,19
113,2016-06-01,70,0,0,2,3,0,0,58,28,0,0,54,1,52,1,13,17,5,3,25,18
114,2016-07-01,68,1,0,1,2,0,0,62,27,0,0,37,1,53,1,11,16,2,2,17,19
115,2016-08-01,63,0,0,1,4,0,0,53,33,0,0,47,1,43,1,11,17,2,2,15,18
116,2016-09-01,58,1,0,2,4,0,0,55,36,0,0,45,1,43,1,12,26,2,3,17,22
117,2016-10-01,54,1,0,2,3,0,0,43,32,0,0,41,1,37,1,9,26,2,1,12,23
118,2016-11-01,67,1,0,2,3,0,0,38,26,0,0,40,1,34,1,9,29,7,3,14,20
119,2016-12-01,52,1,0,2,3,0,0,63,29,0,0,39,1,54,1,12,16,2,2,15,17
120,2017-01-01,59,1,0,2,3,0,0,80,50,0,0,45,2,69,2,13,23,4,3,13,17
121,2017-02-01,65,1,0,2,3,0,0,52,48,0,0,52,1,52,1,13,27,2,3,24,23
122,2017-03-01,70,0,0,2,3,0,0,66,43,0,0,50,1,51,1,12,29,2,1,14,20
123,2017-04-01,70,1,0,2,3,0,0,91,46,0,0,49,2,71,1,15,25,1,0,20,21
124,2017-05-01,71,1,0,2,3,0,0,92,37,0,0,52,2,69,1,14,19,2,2,20,19
125,2017-06-01,71,0,0,3,2,0,0,100,50,0,0,54,2,100,1,16,19,3,3,21,18
126,2017-07-01,73,1,0,2,2,0,0,73,51,0,0,51,2,71,1,15,20,2,3,26,23
127,2017-08-01,57,0,0,2,3,0,0,48,30,0,0,40,1,40,1,11,18,2,2,16,20
128,2017-09-01,55,1,0,2,4,0,0,51,40,0,0,35,2,41,2,11,24,1,0,17,20
129,2017-10-01,52,1,0,2,3,0,0,70,36,0,0,42,2,54,1,13,23,1,1,23,21
130,2017-11-01,65,1,0,2,3,0,0,49,29,0,0,37,2,39,1,10,29,1,4,18,16
131,2017-12-01,57,1,0,1,3,0,0,42,28,0,0,38,1,38,1,9,21,3,1,14,12
