,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,software development,cleaning,data entry,inspection,JAVA
0,2007-01-01,2,10,11,1,59,1,0,3,15,1,2,55,2,47,4,17,89
1,2007-02-01,3,10,12,1,59,1,0,3,15,0,1,51,2,46,3,16,100
2,2007-03-01,2,10,11,1,61,1,0,3,15,1,2,55,2,50,3,16,99
3,2007-04-01,2,10,10,2,62,1,0,3,14,1,1,58,2,56,3,17,94
4,2007-05-01,3,9,10,1,63,1,0,3,14,1,2,62,3,54,2,18,93
5,2007-06-01,2,11,9,2,61,1,0,3,12,1,1,62,2,58,3,19,88
6,2007-07-01,2,12,9,1,65,1,0,3,10,1,1,66,2,57,3,18,88
7,2007-08-01,2,12,11,1,63,1,0,2,11,1,1,64,3,55,3,19,88
8,2007-09-01,2,12,12,1,66,1,0,3,17,1,1,61,2,58,3,16,92
9,2007-10-01,3,10,11,1,59,1,0,3,16,1,2,56,2,52,3,17,96
10,2007-11-01,2,11,10,1,79,1,0,2,16,1,2,57,2,53,2,15,87
11,2007-12-01,2,12,10,1,57,1,0,2,13,1,2,56,2,50,2,13,77
12,2008-01-01,2,12,12,1,57,1,0,3,15,1,2,56,2,52,2,16,79
13,2008-02-01,2,12,12,1,58,1,0,3,15,1,1,53,2,47,3,14,90
14,2008-03-01,2,11,11,1,62,1,0,3,15,1,1,54,2,52,3,16,87
15,2008-04-01,2,11,10,2,63,1,0,3,14,1,2,58,2,56,2,17,91
16,2008-05-01,2,11,10,2,61,1,0,2,15,1,2,58,2,54,3,18,79
17,2008-06-01,2,14,10,1,64,1,0,3,13,1,1,64,2,57,3,17,75
18,2008-07-01,2,14,9,2,63,1,0,3,12,1,1,63,2,58,3,17,79
19,2008-08-01,2,15,10,1,60,1,0,3,12,1,1,63,2,56,3,17,74
20,2008-09-01,2,16,13,1,59,1,0,3,19,1,1,61,2,56,3,16,83
21,2008-10-01,2,15,11,2,58,1,0,3,18,1,1,56,2,50,3,14,85
22,2008-11-01,2,16,12,1,78,1,0,2,14,1,2,58,2,52,2,13,80
23,2008-12-01,2,18,12,1,68,1,0,2,15,1,2,61,2,47,2,14,76
24,2009-01-01,2,18,13,2,65,1,0,3,15,1,2,64,2,51,3,16,76
25,2009-02-01,2,17,13,1,64,1,0,3,17,1,1,58,2,50,2,18,89
26,2009-03-01,2,16,12,1,66,1,0,3,17,1,2,58,2,55,3,18,86
27,2009-04-01,2,16,11,1,65,1,0,3,16,1,2,61,2,58,3,19,87
28,2009-05-01,2,17,11,1,65,1,0,3,17,1,2,65,1,59,3,21,78
29,2009-06-01,2,19,11,1,67,1,0,3,13,1,2,67,1,59,3,21,75
30,2009-07-01,2,21,11,2,68,1,0,3,11,1,1,72,2,60,2,20,76
31,2009-08-01,2,21,12,1,67,1,0,3,13,1,1,72,3,60,3,22,73
32,2009-09-01,2,20,16,1,70,1,0,3,21,1,1,64,2,58,2,19,82
33,2009-10-01,3,21,15,1,64,1,0,3,20,1,2,65,2,53,3,19,85
34,2009-11-01,2,21,15,2,100,1,0,3,19,1,2,63,2,54,3,18,80
35,2009-12-01,2,23,14,1,68,1,0,2,20,1,2,61,2,51,2,16,73
36,2010-01-01,2,23,15,2,63,1,0,3,19,1,2,64,2,53,3,18,73
37,2010-02-01,2,23,15,2,63,1,0,3,20,1,2,61,2,51,2,17,82
38,2010-03-01,2,24,13,2,68,1,0,3,19,1,2,67,3,52,3,20,85
39,2010-04-01,2,23,13,2,66,1,0,4,19,1,2,67,2,56,2,21,85
40,2010-05-01,2,23,13,2,64,1,0,3,19,1,2,66,2,57,2,20,76
41,2010-06-01,2,29,13,2,69,1,0,3,15,1,1,73,2,58,2,20,73
42,2010-07-01,2,28,11,1,67,1,0,3,12,1,1,73,2,60,3,22,72
43,2010-08-01,2,28,13,2,67,1,0,3,14,1,1,75,2,59,2,22,73
44,2010-09-01,3,26,17,2,64,1,0,3,20,1,2,63,2,58,2,19,84
45,2010-10-01,2,25,15,1,61,1,0,3,20,1,2,62,2,54,2,19,85
46,2010-11-01,2,24,15,2,82,1,0,3,20,1,2,63,2,54,2,17,82
47,2010-12-01,2,27,12,2,63,1,0,2,18,2,2,60,2,51,2,16,73
48,2011-01-01,2,35,10,1,54,0,0,2,14,2,1,60,1,49,2,16,52
49,2011-02-01,2,34,9,1,58,0,0,2,14,1,1,60,1,48,2,17,61
50,2011-03-01,2,32,9,1,60,1,0,2,14,2,1,63,1,49,2,19,64
51,2011-04-01,1,33,9,1,58,1,0,2,13,1,2,67,1,51,2,19,57
52,2011-05-01,1,34,8,1,59,1,0,2,12,1,2,70,2,55,2,20,57
53,2011-06-01,2,40,7,1,60,1,0,2,11,2,1,72,2,54,2,20,55
54,2011-07-01,1,42,7,1,56,1,0,2,9,2,1,68,1,50,2,19,51
55,2011-08-01,2,46,8,1,56,1,0,2,10,2,1,68,1,51,2,18,52
56,2011-09-01,2,44,9,1,59,1,0,2,16,1,1,65,2,52,2,19,60
57,2011-10-01,1,40,9,1,56,1,0,2,15,1,1,63,1,52,2,17,62
58,2011-11-01,1,39,9,1,76,1,0,2,14,2,1,62,2,52,1,16,63
59,2011-12-01,1,41,9,1,58,1,0,2,14,2,1,62,1,48,1,16,55
60,2012-01-01,1,39,9,1,55,1,0,2,14,2,1,59,1,50,2,18,53
61,2012-02-01,2,38,9,1,58,1,0,2,14,1,1,57,1,48,2,18,61
62,2012-03-01,1,36,8,1,60,1,0,2,14,1,2,60,1,52,2,20,58
63,2012-04-01,1,37,8,1,57,1,0,2,12,1,1,60,2,52,2,19,60
64,2012-05-01,1,40,7,1,59,1,0,2,13,2,2,65,2,58,2,20,54
65,2012-06-01,1,42,7,1,58,1,0,2,10,2,1,70,1,56,2,21,54
66,2012-07-01,1,40,7,1,56,1,0,2,9,2,1,70,1,55,2,19,52
67,2012-08-01,2,39,9,1,56,0,0,2,9,2,1,65,1,54,2,18,56
68,2012-09-01,2,41,9,1,55,1,0,2,15,2,1,59,2,52,2,17,57
69,2012-10-01,1,43,8,1,51,1,0,2,14,2,1,55,1,50,1,15,57
70,2012-11-01,1,50,7,1,66,1,0,2,13,2,1,56,1,48,1,15,50
71,2012-12-01,1,46,7,1,53,1,0,2,12,2,1,54,1,46,1,15,46
72,2013-01-01,2,42,9,1,53,1,0,2,12,2,1,57,1,49,2,18,68
73,2013-02-01,2,39,9,1,54,1,0,2,14,2,1,55,1,47,2,18,66
74,2013-03-01,2,40,9,1,59,1,0,2,13,2,1,58,2,52,2,18,63
75,2013-04-01,1,40,8,1,59,1,0,2,13,2,1,63,1,56,2,22,63
76,2013-05-01,1,41,8,1,60,1,0,2,13,2,1,66,2,57,2,21,60
77,2013-06-01,1,44,7,1,60,0,0,2,10,2,1,69,1,58,2,21,53
78,2013-07-01,1,47,7,1,60,1,0,2,9,2,0,73,1,59,2,21,55
79,2013-08-01,1,48,9,1,59,1,0,2,10,2,1,68,1,59,2,21,50
80,2013-09-01,2,48,10,1,60,1,0,2,15,2,1,64,1,58,2,20,59
81,2013-10-01,2,44,9,1,58,1,0,2,15,2,1,61,2,55,2,18,66
82,2013-11-01,1,44,8,1,70,1,0,2,13,1,1,60,1,56,2,18,58
83,2013-12-01,1,50,8,1,57,1,0,2,11,2,1,57,1,47,1,15,48
84,2014-01-01,1,46,9,1,52,1,0,2,11,2,1,59,1,51,2,17,59
85,2014-02-01,2,47,9,1,58,1,0,2,12,2,1,60,1,50,2,18,64
86,2014-03-01,1,44,9,1,59,1,0,2,12,2,1,61,1,53,2,21,61
87,2014-04-01,2,44,8,1,59,1,0,2,11,2,1,64,1,58,2,22,63
88,2014-05-01,1,46,7,2,61,1,0,2,11,2,1,68,1,61,2,23,58
89,2014-06-01,1,50,7,1,61,1,0,2,9,2,1,71,1,62,2,22,53
90,2014-07-01,1,52,7,2,60,1,0,2,9,2,0,73,2,62,2,25,56
91,2014-08-01,1,52,9,1,62,1,0,2,10,2,0,70,1,61,2,22,56
92,2014-09-01,2,54,11,2,62,1,0,2,15,2,1,67,2,59,2,20,68
93,2014-10-01,2,53,9,2,60,1,0,2,13,2,1,66,1,56,2,19,70
94,2014-11-01,1,51,8,1,72,1,0,2,11,2,1,68,1,56,2,17,62
95,2014-12-01,1,58,8,1,63,1,0,2,11,2,1,66,1,52,1,17,52
96,2015-01-01,1,55,8,1,60,1,0,2,10,2,1,67,1,55,2,20,53
97,2015-02-01,2,54,8,2,62,1,0,2,12,2,1,65,1,52,2,20,63
98,2015-03-01,1,53,7,2,64,1,0,2,11,2,1,69,1,56,2,23,62
99,2015-04-01,1,52,7,2,63,1,0,2,11,2,1,72,2,60,2,23,66
100,2015-05-01,1,57,6,1,63,1,0,2,10,2,1,75,2,61,2,23,55
101,2015-06-01,1,60,6,2,66,1,0,2,9,2,0,79,1,63,2,24,54
102,2015-07-01,1,64,6,2,63,1,0,2,8,2,0,76,1,66,2,24,59
103,2015-08-01,1,65,8,2,62,1,0,2,8,2,0,74,2,63,2,24,54
104,2015-09-01,2,63,8,1,62,1,0,2,13,2,1,70,2,59,2,23,64
105,2015-10-01,1,62,7,2,59,1,0,2,13,2,1,67,2,58,2,21,65
106,2015-11-01,1,61,7,2,69,1,0,2,11,2,1,66,1,58,2,20,57
107,2015-12-01,1,74,7,2,59,1,0,2,10,2,1,63,1,57,1,20,52
108,2016-01-01,1,65,6,2,55,1,0,3,9,2,1,74,3,66,2,24,47
109,2016-02-01,1,67,6,2,64,1,0,4,10,2,1,82,3,70,2,26,64
110,2016-03-01,1,63,5,2,65,1,0,3,9,2,1,78,3,70,2,25,59
111,2016-04-01,1,62,5,2,65,1,0,3,9,2,1,78,3,71,2,26,62
112,2016-05-01,1,64,5,2,68,1,0,3,9,2,1,83,3,74,2,26,54
113,2016-06-01,1,64,5,2,64,1,0,2,7,2,0,80,2,70,2,27,50
114,2016-07-01,1,68,5,2,63,1,0,3,6,2,0,85,3,74,2,26,47
115,2016-08-01,1,69,6,2,62,1,0,3,7,2,0,86,2,73,2,26,49
116,2016-09-01,1,74,7,2,66,1,0,3,11,2,0,87,3,78,2,24,60
117,2016-10-01,1,66,5,2,60,1,0,4,9,2,1,81,3,79,2,24,57
118,2016-11-01,1,66,5,2,73,1,0,4,9,2,1,76,3,80,2,24,53
119,2016-12-01,1,81,5,2,60,1,0,4,8,3,1,77,3,71,2,23,46
120,2017-01-01,1,73,6,2,63,1,0,5,8,3,1,85,5,82,3,28,48
121,2017-02-01,1,73,6,2,65,1,0,5,10,2,1,77,4,77,3,28,62
122,2017-03-01,1,72,6,2,69,1,0,5,10,2,1,82,4,80,2,27,59
123,2017-04-01,1,73,5,2,69,1,0,5,8,3,1,98,5,98,2,30,56
124,2017-05-01,1,74,5,2,70,1,0,4,8,2,1,92,4,94,2,30,51
125,2017-06-01,1,81,5,2,69,1,0,4,6,3,1,94,4,100,2,31,48
126,2017-07-01,1,89,5,2,70,1,0,5,6,3,0,100,5,100,2,31,47
127,2017-08-01,1,87,5,2,63,1,0,3,7,3,0,82,3,82,2,28,47
128,2017-09-01,1,85,6,3,68,1,0,4,10,3,0,90,5,90,2,29,56
129,2017-10-01,1,85,5,3,66,1,0,5,10,3,0,94,5,93,2,29,59
130,2017-11-01,1,88,5,3,76,1,0,4,8,3,1,84,4,85,2,26,53
131,2017-12-01,1,100,4,2,64,1,0,4,8,3,0,83,5,81,2,26,42
