,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,83,55,49,0,0,0,62,11,1,28,0,3,67,6,33,3,6
1,2007-02-01,2,2,0,81,55,51,0,0,0,77,10,1,29,0,3,66,4,34,3,7
2,2007-03-01,2,2,0,83,54,50,0,0,0,71,11,1,29,0,3,69,5,33,3,7
3,2007-04-01,2,2,0,83,51,48,0,0,0,100,11,1,31,0,3,68,5,33,3,6
4,2007-05-01,2,2,0,79,54,46,0,0,0,34,11,1,29,0,3,71,4,33,3,6
5,2007-06-01,2,2,0,83,54,48,0,0,0,32,10,1,29,0,3,72,4,30,3,7
6,2007-07-01,2,2,0,87,52,49,0,0,0,33,10,1,29,0,3,74,5,30,2,6
7,2007-08-01,2,2,0,85,56,58,0,0,0,32,10,1,29,0,3,70,5,29,2,7
8,2007-09-01,2,1,0,80,54,49,0,0,0,30,10,1,32,0,3,65,5,30,2,8
9,2007-10-01,2,2,0,74,53,52,0,0,0,34,11,1,31,0,3,59,4,31,2,7
10,2007-11-01,2,1,0,74,53,49,0,0,0,32,11,1,30,0,3,61,4,32,2,6
11,2007-12-01,2,2,0,73,51,47,0,0,0,36,9,1,30,0,3,61,4,31,3,7
12,2008-01-01,2,2,0,80,53,56,0,0,1,61,11,1,31,0,4,60,4,30,3,10
13,2008-02-01,2,2,0,76,50,56,0,0,1,76,10,1,31,0,3,61,3,31,3,8
14,2008-03-01,2,2,0,78,48,62,0,0,1,70,11,1,32,0,3,64,4,30,3,9
15,2008-04-01,2,2,0,76,49,74,0,0,0,87,11,1,32,0,4,64,4,30,3,8
16,2008-05-01,2,2,0,76,41,66,0,0,1,48,10,1,32,0,3,69,4,31,3,6
17,2008-06-01,2,2,0,77,44,62,0,0,0,34,10,1,31,0,4,74,4,28,2,6
18,2008-07-01,2,3,0,77,44,71,0,0,0,31,9,1,31,0,4,67,4,28,2,6
19,2008-08-01,2,4,0,72,42,66,0,0,0,29,9,1,31,0,4,61,5,26,2,5
20,2008-09-01,2,2,0,69,43,84,0,0,1,32,10,1,30,0,5,54,4,27,2,6
21,2008-10-01,2,2,0,65,41,84,0,0,1,38,11,1,31,0,5,51,3,26,2,7
22,2008-11-01,2,4,0,66,41,84,0,0,2,31,12,1,31,0,6,52,3,28,3,5
23,2008-12-01,2,3,0,70,45,85,0,0,2,33,11,1,32,0,7,54,3,28,2,7
24,2009-01-01,2,3,0,73,43,98,0,0,3,56,12,1,32,0,8,53,3,28,2,7
25,2009-02-01,2,3,0,71,42,100,0,0,2,80,12,1,33,0,8,54,3,27,2,6
26,2009-03-01,2,2,0,71,43,93,0,0,2,78,12,1,33,0,8,57,3,27,3,6
27,2009-04-01,2,2,0,70,45,92,0,0,1,79,12,1,34,0,7,57,3,27,2,6
28,2009-05-01,2,3,0,67,38,91,0,0,1,32,12,1,33,0,6,56,3,26,2,5
29,2009-06-01,2,2,0,68,39,98,0,0,1,32,11,1,32,0,7,57,2,24,2,5
30,2009-07-01,2,2,0,70,43,92,0,0,1,33,12,1,33,0,7,58,3,23,2,4
31,2009-08-01,2,2,0,67,41,83,0,0,1,30,11,1,33,0,6,59,2,23,2,4
32,2009-09-01,2,2,0,64,39,77,0,0,0,30,12,1,33,0,7,51,3,24,2,4
33,2009-10-01,2,2,0,64,38,79,0,0,0,32,13,1,34,0,7,47,3,25,2,4
34,2009-11-01,2,2,0,63,40,73,0,0,0,31,13,1,34,0,7,46,3,25,2,4
35,2009-12-01,2,2,0,63,39,70,0,0,0,33,12,1,33,0,6,48,2,25,2,4
36,2010-01-01,2,2,0,67,39,73,0,0,0,51,13,1,33,0,7,47,3,24,2,4
37,2010-02-01,2,2,0,63,40,78,0,0,0,58,13,1,33,0,7,48,3,25,2,4
38,2010-03-01,2,2,0,62,37,77,0,0,1,56,14,1,34,0,7,49,3,25,2,4
39,2010-04-01,2,2,0,62,37,72,0,0,0,65,14,1,36,0,6,47,3,24,2,4
40,2010-05-01,2,2,0,60,34,66,0,0,0,28,12,1,34,0,6,50,3,26,2,4
41,2010-06-01,2,2,0,62,35,73,0,0,0,29,13,1,33,0,8,51,3,25,2,4
42,2010-07-01,2,2,0,58,34,62,0,0,0,25,12,1,32,0,10,48,2,23,1,3
43,2010-08-01,2,1,0,54,34,62,0,0,0,24,10,1,32,0,5,46,2,23,2,4
44,2010-09-01,2,1,0,54,32,59,0,0,0,25,11,1,32,0,5,44,2,23,2,3
45,2010-10-01,2,1,0,52,33,56,0,0,0,26,11,1,33,0,5,41,3,26,2,3
46,2010-11-01,2,1,0,53,30,49,0,0,0,24,11,1,32,0,5,41,2,24,2,3
47,2010-12-01,1,2,0,53,32,48,0,0,0,30,11,1,33,0,7,42,2,25,2,3
48,2011-01-01,3,3,1,81,47,91,0,0,0,64,18,1,51,0,8,66,4,31,3,5
49,2011-02-01,3,3,0,78,47,96,0,0,0,76,17,1,50,0,7,66,5,35,3,5
50,2011-03-01,3,3,1,77,48,85,0,0,0,66,17,1,54,0,6,65,5,36,3,5
51,2011-04-01,3,3,1,78,48,83,0,0,0,86,17,2,56,0,6,68,5,37,3,5
52,2011-05-01,3,2,1,79,44,78,0,0,0,34,17,2,54,0,6,68,5,37,3,5
53,2011-06-01,3,2,1,79,49,88,0,0,0,34,17,1,54,0,7,72,5,35,2,4
54,2011-07-01,3,4,0,82,47,81,0,0,0,36,21,1,54,0,7,75,4,31,2,4
55,2011-08-01,3,2,1,79,48,80,0,0,0,32,20,1,54,0,7,72,4,34,3,5
56,2011-09-01,3,2,1,76,46,75,0,0,0,31,18,1,53,0,7,68,5,36,3,4
57,2011-10-01,3,2,1,73,45,74,0,0,0,34,17,1,54,0,6,65,5,34,3,4
58,2011-11-01,3,2,1,74,43,72,0,0,0,31,17,2,54,0,6,63,5,33,3,4
59,2011-12-01,3,3,0,75,45,65,0,0,0,37,17,1,56,0,7,63,5,33,3,4
60,2012-01-01,3,3,1,79,46,79,0,0,0,62,19,1,56,0,7,66,5,35,3,4
61,2012-02-01,3,2,1,76,49,77,0,0,0,73,19,2,58,0,7,69,5,36,3,5
62,2012-03-01,3,2,1,76,50,70,0,0,0,59,19,2,58,0,6,69,5,41,3,5
63,2012-04-01,3,3,0,78,49,67,0,0,0,69,20,1,60,0,6,69,5,42,4,5
64,2012-05-01,3,2,1,80,51,69,0,0,0,31,20,2,58,0,6,77,5,42,3,5
65,2012-06-01,3,2,0,81,50,75,0,0,0,31,19,1,59,0,6,77,5,42,2,5
66,2012-07-01,3,3,0,85,51,82,0,0,0,32,19,1,59,0,6,77,5,38,2,5
67,2012-08-01,3,8,0,82,51,68,0,0,0,32,18,1,58,0,6,74,5,36,3,4
68,2012-09-01,3,3,1,80,51,64,0,0,0,36,18,1,60,0,6,74,6,36,3,4
69,2012-10-01,3,2,1,76,50,64,0,0,0,37,19,1,59,0,6,65,6,36,3,4
70,2012-11-01,3,3,0,80,48,61,0,0,0,37,18,1,59,0,6,64,5,35,3,5
71,2012-12-01,3,2,0,81,48,52,0,0,0,39,17,1,59,0,6,65,6,34,3,4
72,2013-01-01,3,2,1,84,50,59,0,0,0,67,21,1,61,0,7,66,6,37,3,4
73,2013-02-01,3,2,1,79,50,59,0,0,0,77,21,2,61,0,6,68,6,39,3,5
74,2013-03-01,3,3,1,82,51,55,0,0,0,64,21,1,63,0,5,73,6,38,3,5
75,2013-04-01,3,3,1,87,51,50,0,0,0,72,21,2,60,0,5,70,6,39,3,5
76,2013-05-01,4,2,1,89,52,45,0,0,0,33,20,2,60,0,5,74,5,42,3,6
77,2013-06-01,3,2,0,91,52,45,0,0,0,29,20,1,59,0,5,78,5,36,2,6
78,2013-07-01,3,2,0,91,52,51,0,0,0,29,20,1,60,0,5,78,5,40,2,5
79,2013-08-01,3,3,1,85,53,43,0,0,0,29,20,1,60,0,5,78,5,38,3,5
80,2013-09-01,4,3,1,85,52,40,0,0,0,30,20,1,59,0,5,72,6,38,3,5
81,2013-10-01,4,2,1,80,55,41,0,0,0,35,22,2,58,0,5,70,6,42,3,5
82,2013-11-01,3,2,1,83,52,38,0,0,0,31,22,2,60,0,5,69,6,43,4,5
83,2013-12-01,3,2,0,85,51,37,0,0,0,35,19,1,61,0,6,72,6,39,3,4
84,2014-01-01,4,3,1,87,56,41,0,0,0,56,25,1,63,0,9,71,5,40,3,4
85,2014-02-01,4,4,1,83,55,42,0,0,0,75,23,2,62,0,7,72,6,40,3,5
86,2014-03-01,4,3,1,85,56,39,0,0,0,62,24,2,63,0,7,74,6,45,3,5
87,2014-04-01,4,3,1,85,57,40,0,0,0,68,23,2,64,0,7,76,6,48,3,5
88,2014-05-01,4,3,1,90,54,39,0,0,0,32,22,2,61,0,6,76,6,72,3,5
89,2014-06-01,4,3,1,87,56,41,0,0,0,31,21,1,59,0,5,80,6,53,2,5
90,2014-07-01,4,3,0,90,58,40,0,0,0,31,22,1,60,0,5,85,6,42,2,5
91,2014-08-01,4,3,0,86,60,39,0,0,0,30,21,1,60,0,4,81,6,42,3,4
92,2014-09-01,4,3,1,85,60,39,0,0,0,32,21,1,61,0,4,72,6,42,3,5
93,2014-10-01,4,3,1,81,60,41,0,0,0,36,21,2,58,0,4,71,6,42,3,6
94,2014-11-01,4,2,1,88,57,34,0,0,0,33,21,2,58,0,4,70,6,41,3,5
95,2014-12-01,3,3,0,87,54,32,0,0,1,37,20,1,58,0,4,69,5,38,3,5
96,2015-01-01,4,3,1,89,56,40,0,0,1,60,23,1,59,0,5,73,6,43,3,5
97,2015-02-01,4,3,1,87,57,40,0,0,0,76,23,2,59,0,4,76,6,38,3,6
98,2015-03-01,4,3,1,91,58,40,0,0,0,66,23,2,61,0,4,81,6,40,4,7
99,2015-04-01,4,3,1,95,57,39,0,0,0,71,22,2,63,0,4,81,6,47,3,7
100,2015-05-01,4,3,1,92,55,34,0,0,0,33,21,2,60,0,4,81,6,49,3,6
101,2015-06-01,4,3,1,96,57,41,0,0,0,34,21,1,58,0,4,85,6,43,2,6
102,2015-07-01,4,3,0,98,58,49,0,0,1,32,21,1,58,0,4,87,6,53,2,5
103,2015-08-01,4,3,1,92,62,38,0,0,1,32,20,1,59,0,3,87,6,47,3,5
104,2015-09-01,4,3,1,90,56,40,0,0,1,33,21,1,58,0,3,80,6,61,3,6
105,2015-10-01,4,3,1,85,57,38,0,0,1,36,22,2,58,0,3,76,6,100,3,6
106,2015-11-01,4,4,1,91,56,35,0,0,1,33,21,2,60,0,4,75,6,52,3,6
107,2015-12-01,4,3,1,91,51,33,0,0,0,38,20,2,62,0,3,75,6,48,3,7
108,2016-01-01,4,5,1,91,52,40,0,0,1,57,22,1,60,0,4,81,6,52,3,5
109,2016-02-01,5,3,1,86,52,47,0,0,1,75,22,2,62,0,4,84,7,56,4,6
110,2016-03-01,5,3,1,86,51,46,0,0,0,61,21,2,63,0,3,86,7,51,3,6
111,2016-04-01,5,4,1,91,49,49,0,0,1,67,22,2,60,0,3,86,7,53,3,7
112,2016-05-01,5,4,1,92,49,42,0,0,1,32,21,2,60,0,3,88,7,51,3,7
113,2016-06-01,4,3,1,92,50,38,0,0,0,30,20,1,59,0,4,90,6,44,2,5
114,2016-07-01,5,3,0,96,46,38,0,0,0,29,20,1,59,0,3,93,6,45,2,5
115,2016-08-01,5,5,1,85,48,40,0,0,1,30,20,1,58,0,3,89,6,40,3,5
116,2016-09-01,5,4,1,88,50,40,0,0,0,31,20,1,60,0,3,87,7,44,3,6
117,2016-10-01,5,3,1,85,47,36,0,0,0,35,20,2,59,0,3,80,7,42,3,6
118,2016-11-01,5,3,1,90,44,33,0,0,0,35,20,2,57,0,3,77,7,45,3,6
119,2016-12-01,5,3,0,92,44,32,0,0,0,35,20,1,61,0,3,80,6,38,3,6
120,2017-01-01,5,4,1,88,48,34,0,0,1,58,23,1,64,0,4,80,7,41,3,5
121,2017-02-01,5,3,1,86,50,37,0,0,0,75,23,2,63,0,3,82,7,48,3,6
122,2017-03-01,5,4,1,87,50,39,0,0,0,68,24,2,64,0,3,88,7,52,4,8
123,2017-04-01,5,4,1,93,48,41,0,0,0,77,23,2,65,0,3,89,7,46,3,7
124,2017-05-01,5,3,1,93,48,40,0,0,0,35,23,2,60,0,3,93,7,44,3,7
125,2017-06-01,5,3,1,98,50,39,0,0,0,33,22,1,61,0,3,96,7,44,2,6
126,2017-07-01,5,4,0,100,48,38,0,0,0,34,22,1,62,0,3,100,7,37,2,6
127,2017-08-01,5,3,1,95,47,38,0,0,0,33,22,1,61,0,3,96,7,35,3,5
128,2017-09-01,5,3,1,94,46,43,0,0,0,34,22,1,60,0,3,89,7,34,3,6
129,2017-10-01,5,3,1,89,45,39,0,0,0,41,23,2,61,0,3,87,7,36,3,7
130,2017-11-01,5,3,1,100,45,34,0,0,0,50,23,2,62,0,3,86,7,38,3,6
131,2017-12-01,5,3,0,100,40,29,0,0,0,80,21,1,64,0,3,83,7,36,3,6
