,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,worse,future,expectations,interest rate
0,2007-01-01,2,4,0,94,25,35,28,10,0,60,11,1,6,31,3,6
1,2007-02-01,2,10,1,88,27,37,31,13,0,71,9,1,3,30,3,7
2,2007-03-01,2,4,0,88,24,37,32,20,0,68,10,1,4,32,4,8
3,2007-04-01,2,2,1,91,20,38,26,23,0,89,10,1,5,31,3,6
4,2007-05-01,2,2,0,93,26,37,33,16,0,39,10,1,5,34,4,9
5,2007-06-01,2,2,0,90,26,35,33,16,0,36,9,1,5,29,2,8
6,2007-07-01,2,3,0,93,25,29,28,15,0,37,10,1,6,30,3,7
7,2007-08-01,2,2,0,95,26,38,29,13,0,35,9,1,4,28,2,7
8,2007-09-01,2,2,0,88,22,40,30,17,0,33,9,1,5,32,3,9
9,2007-10-01,2,2,0,88,24,37,30,16,0,36,10,1,5,30,3,9
10,2007-11-01,2,2,0,89,25,39,22,15,0,32,10,1,3,33,2,7
11,2007-12-01,2,4,0,84,25,32,25,17,0,36,8,1,3,28,2,7
12,2008-01-01,2,4,0,91,21,45,32,21,0,64,11,1,4,31,3,13
13,2008-02-01,2,5,0,89,21,43,33,15,0,76,10,1,4,31,2,9
14,2008-03-01,2,2,1,93,27,45,25,12,0,69,10,1,5,29,3,11
15,2008-04-01,2,3,0,90,21,45,30,19,0,83,11,1,5,32,4,9
16,2008-05-01,2,2,0,89,16,48,24,20,0,48,9,1,5,30,4,7
17,2008-06-01,2,2,0,91,20,45,28,18,0,37,9,1,4,31,2,8
18,2008-07-01,2,3,0,91,21,52,31,18,0,34,9,1,3,28,2,8
19,2008-08-01,2,4,0,86,20,42,27,15,0,31,9,1,5,24,2,6
20,2008-09-01,3,3,0,84,22,58,30,18,0,34,10,1,6,26,2,7
21,2008-10-01,2,3,1,80,23,56,28,24,1,39,11,1,3,29,3,9
22,2008-11-01,2,5,0,80,22,63,34,23,1,30,10,1,3,32,3,7
23,2008-12-01,2,4,0,88,21,60,30,18,1,34,11,1,4,30,4,9
24,2009-01-01,2,8,0,96,20,74,34,19,1,59,13,1,4,31,3,8
25,2009-02-01,2,4,1,93,22,75,36,31,1,88,13,1,3,33,4,9
26,2009-03-01,2,5,0,96,24,82,39,23,1,76,14,1,3,32,3,9
27,2009-04-01,2,3,0,96,24,80,37,22,1,82,13,1,3,35,2,9
28,2009-05-01,2,6,1,95,23,81,31,25,1,40,12,1,3,33,4,7
29,2009-06-01,2,4,0,95,24,100,36,22,0,38,14,1,3,32,2,7
30,2009-07-01,2,3,0,92,24,86,37,21,0,39,14,1,3,31,2,7
31,2009-08-01,3,3,1,95,25,76,30,21,0,39,14,1,3,26,2,7
32,2009-09-01,2,3,0,90,25,71,31,23,0,36,13,1,4,32,3,6
33,2009-10-01,3,3,1,91,24,75,34,28,0,41,16,1,3,31,3,7
34,2009-11-01,3,3,0,95,25,79,36,27,0,37,16,1,4,36,3,6
35,2009-12-01,2,5,0,92,26,64,31,25,0,40,15,1,3,31,3,6
36,2010-01-01,3,3,0,95,27,74,35,31,0,68,16,1,4,33,3,7
37,2010-02-01,3,11,1,95,25,67,34,26,0,72,15,1,2,28,3,7
38,2010-03-01,2,4,0,93,25,76,39,28,0,72,17,1,4,36,3,6
39,2010-04-01,3,3,1,97,23,70,35,25,0,82,17,1,4,33,3,8
40,2010-05-01,3,3,0,95,23,69,37,27,0,41,15,1,3,33,3,7
41,2010-06-01,2,3,1,94,23,78,39,31,0,41,16,1,4,33,2,8
42,2010-07-01,2,3,0,93,25,66,37,26,0,39,16,1,3,31,3,7
43,2010-08-01,3,3,0,90,27,71,34,26,0,41,14,1,3,28,3,6
44,2010-09-01,3,3,1,84,20,66,35,26,0,38,14,1,4,34,3,6
45,2010-10-01,3,3,1,82,23,64,33,42,0,37,14,1,4,36,4,6
46,2010-11-01,3,2,1,87,22,60,32,36,0,35,16,1,4,34,4,7
47,2010-12-01,2,4,1,86,22,54,27,29,0,46,15,1,4,39,3,6
48,2011-01-01,2,9,1,85,16,58,34,38,0,62,15,1,3,29,3,6
49,2011-02-01,3,6,1,79,21,60,40,31,0,70,15,1,4,36,4,6
50,2011-03-01,3,3,1,81,20,62,35,35,0,64,14,1,5,32,3,5
51,2011-04-01,2,4,1,80,17,54,33,29,0,68,14,1,4,33,3,6
52,2011-05-01,3,3,0,79,16,44,26,39,0,30,12,1,4,30,3,5
53,2011-06-01,3,3,0,83,20,59,27,24,0,30,14,1,4,29,2,4
54,2011-07-01,3,4,0,85,16,47,27,28,0,31,15,1,4,27,3,5
55,2011-08-01,3,5,0,84,15,46,28,25,0,32,14,1,5,29,2,5
56,2011-09-01,3,3,0,80,16,47,24,29,0,30,13,1,4,33,2,5
57,2011-10-01,3,3,1,80,17,46,28,28,0,29,13,1,4,32,3,5
58,2011-11-01,3,3,0,77,16,48,27,48,0,26,13,1,5,32,2,5
59,2011-12-01,3,4,0,80,14,42,24,41,0,31,14,1,6,30,2,4
60,2012-01-01,3,5,0,80,18,53,24,35,0,55,15,1,5,32,3,5
61,2012-02-01,3,4,0,78,20,50,28,33,0,63,14,1,5,35,3,5
62,2012-03-01,3,3,0,79,15,44,24,29,0,44,14,1,5,38,3,4
63,2012-04-01,3,3,0,81,16,43,21,41,0,49,13,1,5,41,4,5
64,2012-05-01,3,3,0,81,15,41,23,32,0,26,13,1,4,38,2,4
65,2012-06-01,3,3,0,83,15,37,23,35,0,24,13,1,4,40,2,5
66,2012-07-01,3,3,0,86,16,40,24,31,0,28,14,1,6,38,2,4
67,2012-08-01,3,8,0,81,15,42,25,29,0,28,14,1,5,44,2,4
68,2012-09-01,3,3,1,79,15,41,22,26,0,27,14,1,5,39,2,5
69,2012-10-01,4,7,0,82,12,39,20,29,0,25,12,1,6,36,2,4
70,2012-11-01,3,5,1,83,19,50,26,36,0,33,14,1,5,38,2,5
71,2012-12-01,3,4,0,84,27,50,33,42,0,44,17,1,5,40,3,8
72,2013-01-01,3,5,1,82,26,44,31,34,0,64,17,1,5,41,3,6
73,2013-02-01,3,4,1,80,23,47,30,30,0,71,16,1,5,45,4,8
74,2013-03-01,3,7,1,81,19,38,24,29,0,51,15,1,6,42,2,5
75,2013-04-01,3,3,0,86,19,33,21,35,0,52,14,1,6,48,2,5
76,2013-05-01,3,3,0,91,17,30,25,32,0,30,14,1,5,47,3,5
77,2013-06-01,3,3,0,89,18,33,23,43,0,28,14,1,6,38,2,7
78,2013-07-01,3,4,1,87,25,49,39,28,0,40,18,1,5,44,3,10
79,2013-08-01,3,3,1,84,29,45,40,33,0,41,18,1,6,41,4,8
80,2013-09-01,3,3,1,82,25,41,35,31,0,35,17,1,6,44,3,7
81,2013-10-01,3,3,1,81,24,49,36,58,0,39,19,2,4,57,3,8
82,2013-11-01,3,3,1,83,26,40,42,34,0,36,19,1,6,49,4,8
83,2013-12-01,3,6,1,84,24,42,39,51,0,38,17,1,5,47,3,6
84,2014-01-01,3,9,1,78,25,34,34,45,0,51,19,1,5,45,3,6
85,2014-02-01,3,9,1,76,24,34,36,30,0,68,18,1,6,41,3,7
86,2014-03-01,4,8,1,79,24,36,29,26,0,52,17,1,4,46,3,6
87,2014-04-01,3,3,1,79,24,32,28,34,0,53,15,2,6,51,3,6
88,2014-05-01,3,3,1,85,30,34,32,40,0,39,17,2,6,65,3,6
89,2014-06-01,3,4,1,82,33,44,43,29,0,41,17,2,4,52,2,6
90,2014-07-01,3,4,0,93,24,38,32,33,0,33,17,1,6,41,2,6
91,2014-08-01,4,3,0,89,21,33,28,27,0,29,15,1,6,40,3,5
92,2014-09-01,4,3,0,90,23,35,26,31,0,27,14,1,5,37,3,5
93,2014-10-01,4,3,0,86,21,30,24,31,0,25,14,1,6,37,3,5
94,2014-11-01,4,3,0,92,18,23,21,31,0,23,15,1,6,36,2,4
95,2014-12-01,4,4,0,93,17,25,22,31,0,26,14,1,6,34,2,5
96,2015-01-01,4,8,0,94,22,28,25,32,0,45,17,1,6,40,3,4
97,2015-02-01,4,7,1,88,23,31,25,31,0,56,15,1,6,35,3,6
98,2015-03-01,4,6,1,91,21,26,26,31,0,46,16,1,5,38,3,7
99,2015-04-01,4,4,1,97,23,25,26,31,0,50,15,1,5,46,3,6
100,2015-05-01,4,3,1,100,24,26,21,28,0,26,14,1,6,45,2,5
101,2015-06-01,4,4,0,96,22,31,26,25,0,27,15,1,6,44,2,5
102,2015-07-01,4,3,0,100,20,40,26,33,0,25,14,1,6,72,2,5
103,2015-08-01,4,4,0,99,18,32,20,28,0,27,14,1,6,59,2,5
104,2015-09-01,4,4,1,95,19,31,24,28,0,23,14,1,6,79,2,6
105,2015-10-01,4,4,1,94,18,27,23,35,0,24,14,1,6,100,2,6
106,2015-11-01,5,5,0,96,16,26,19,31,0,22,14,1,7,59,3,5
107,2015-12-01,4,3,0,98,17,23,22,33,0,27,15,1,6,52,2,7
108,2016-01-01,4,14,0,90,16,30,22,41,0,42,15,1,7,62,4,5
109,2016-02-01,5,8,1,84,20,32,24,27,0,61,16,1,7,72,4,7
110,2016-03-01,5,6,1,88,17,30,27,40,0,47,15,1,7,59,3,5
111,2016-04-01,5,5,0,92,16,28,24,28,0,52,15,1,6,57,3,6
112,2016-05-01,4,5,0,94,17,29,22,37,0,27,13,1,7,50,2,5
113,2016-06-01,4,4,0,91,18,30,26,35,0,25,14,1,7,51,2,5
114,2016-07-01,4,4,0,92,16,30,24,34,0,24,14,1,7,48,2,4
115,2016-08-01,5,7,0,89,17,27,24,34,0,29,14,1,6,45,2,5
116,2016-09-01,5,4,0,90,18,31,23,31,0,25,13,1,7,38,2,5
117,2016-10-01,4,4,0,89,19,30,24,38,0,28,14,1,6,41,2,6
118,2016-11-01,5,4,0,90,16,25,21,33,0,28,14,1,6,43,3,6
119,2016-12-01,4,4,0,92,16,25,24,31,0,27,14,1,6,36,2,7
120,2017-01-01,5,8,1,90,18,30,26,50,0,49,17,1,6,38,3,5
121,2017-02-01,5,5,0,88,19,26,23,46,0,63,16,1,6,57,3,7
122,2017-03-01,5,9,0,90,19,28,25,48,0,52,17,1,6,59,3,7
123,2017-04-01,5,4,1,95,21,30,23,49,0,55,16,1,7,49,2,6
124,2017-05-01,5,4,1,93,18,36,23,65,0,28,15,1,7,48,2,6
125,2017-06-01,5,5,0,93,16,25,25,40,0,27,15,1,7,40,2,6
126,2017-07-01,5,5,0,96,18,23,21,36,0,26,15,1,8,38,2,6
127,2017-08-01,5,4,0,92,17,27,23,37,0,29,15,1,8,37,3,5
128,2017-09-01,5,4,1,91,17,29,22,38,0,28,14,1,8,32,2,5
129,2017-10-01,5,4,0,88,16,26,24,44,0,32,15,1,7,38,3,6
130,2017-11-01,5,4,1,86,25,33,30,46,0,62,18,2,6,50,3,7
131,2017-12-01,4,4,1,84,27,31,40,50,0,100,19,2,5,42,2,7
